userId,total_ratings,avg_rating,rating_std,last_active_days,watch_frequency,tenure_months,top_genre,top_genre_cnt,genre_affinity_score,genre_encoded,plan_tier,plan_price,plan_encoded,acq_channel,acq_encoded,churn_prob,churned,markov_state,naive_ltv,iltv,p_rejoin,duration,event
13,412,3.559466019417476,1.0208210551216788,0.3422186008613666,0.0011000483273658,129.73333333333332,Action,189,45.9,0,Basic,9.99,1,trial,3,0.1614248565254103,0,on_service,57.61,48.14,0.196,2.24,0
21,103,4.233009708737864,0.8767574339257311,0.159003608427424,0.2620865139949109,45.53333333333333,Action,53,51.5,0,Standard,15.49,2,paid_social,2,0.05,1,off_service_recent,198.8,184.09,0.202,0.79,1
25,87,3.528735632183908,0.96254363186843,0.9942963566523104,0.2213740458015267,284.7333333333333,Action,26,29.9,0,Standard,15.49,2,bundle,0,0.404950062421085,0,on_service,37.33,22.75,0.18,4.91,0
34,32,3.234375,0.7827203904827184,0.3455942265161215,0.0814249363867684,98.96666666666668,Action,12,37.5,0,Basic,9.99,1,trial,3,0.140762913019513,0,on_service,64.89,55.46,0.188,1.71,0
35,50,3.89,0.5828326325378671,0.0848562449074613,0.0043871194173905,25.23333333333333,Comedy,19,38.0,4,Basic,9.99,1,organic,1,0.05,0,on_service,128.21,118.78,0.188,0.44,0
45,44,3.7954545454545454,0.7947369157952182,0.989873123035735,0.1119592875318066,283.46666666666664,Comedy,16,36.4,4,Standard,15.49,2,bundle,0,0.4431188546626847,0,on_service,34.19,19.57,0.186,4.89,0
85,68,3.544117647058824,1.297918235924983,0.9831218717262252,0.1730279898218829,281.53333333333336,Comedy,31,45.6,4,Standard,15.49,2,bundle,0,0.3887835024700387,1,off_service_long,38.84,24.17,0.196,4.86,1
90,33,3.8484848484848486,0.755033613540323,0.957513677103946,0.0839694656488549,274.2,Drama,10,30.3,7,Basic,9.99,1,bundle,0,0.5434262088587294,0,on_service,18.05,8.65,0.18,4.73,0
97,67,3.9402985074626864,0.6367673333454853,0.6682574787568385,0.0063142022429554,192.26666666666668,Action,29,43.3,0,Basic,9.99,1,bundle,0,0.3248488818839931,1,off_service_long,29.83,20.38,0.193,3.32,1
98,145,3.9,0.7628528327563873,0.1673844721219881,0.3689567430025445,47.93333333333333,Comedy,48,33.1,4,Standard,15.49,2,bundle,0,0.05,0,on_service,198.8,184.2,0.183,0.83,0
102,155,4.106451612903226,0.6521370881451187,0.4512862297753462,0.3944020356234097,129.23333333333332,Comedy,71,45.8,4,Standard,15.49,2,organic,1,0.05,0,on_service,198.8,184.12,0.196,2.23,0
111,23,4.413043478260869,0.6683115412781182,0.5483645675707135,0.0585241730279898,157.03333333333333,Action,10,43.5,0,Basic,9.99,1,bundle,0,0.2024295675425759,1,off_service_long,46.86,37.41,0.194,2.71,1
114,127,3.437007874015748,0.7479923551946047,0.0103596787335583,0.0010700503850496,13.0,Action,49,38.6,0,Basic,9.99,1,trial,3,0.05,0,on_service,128.21,118.77,0.189,0.22,0
118,37,3.189189189189189,0.844519516182553,0.99324874869049,0.094147582697201,284.43333333333334,Action,15,40.5,0,Basic,9.99,1,trial,3,0.6465252076037915,1,off_service_long,15.22,5.77,0.19,4.91,1
120,640,4.2,0.8264031080693032,0.7675474333604936,0.0025726678163275,240.9,Comedy,207,32.3,4,Basic,9.99,1,organic,1,0.3981516127802312,0,on_service,24.48,15.07,0.182,4.15,0
125,245,3.589795918367347,0.9233414235316753,0.6989873123035735,0.0016803495126986,212.53333333333333,Comedy,99,40.4,4,Basic,9.99,1,bundle,0,0.3575496750865095,0,on_service,27.18,17.73,0.19,3.67,0
128,37,4.04054054054054,0.9529076728797148,0.0256081946222791,0.0062765055131467,7.833333333333333,Action,30,81.1,0,Basic,9.99,1,paid_social,2,0.05,0,on_service,128.21,118.65,0.231,0.14,0
129,20,4.15,0.7451598203705947,0.8539168897683622,0.0508905852417302,244.53333333333333,Comedy,8,40.0,4,Basic,9.99,1,trial,3,0.5576882191938246,0,on_service,17.6,8.15,0.19,4.22,0
136,58,3.5172413793103448,0.8000302474620596,0.9871959026888604,0.1475826972010178,282.7,Action,20,34.5,0,Standard,15.49,2,organic,1,0.3969653735505796,0,on_service,38.06,23.46,0.184,4.88,0
140,21,3.7142857142857135,0.8451542547285166,0.976836223955302,0.0534351145038167,279.7333333333333,Action,11,52.4,0,Basic,9.99,1,organic,1,0.4999514219123332,1,off_service_long,19.59,10.1,0.202,4.82,1
143,35,3.6857142857142855,0.9321521136730904,0.9614713071819346,0.089058524173028,275.3333333333333,Action,12,34.3,0,Basic,9.99,1,bundle,0,0.5360477836590338,0,on_service,18.3,8.88,0.184,4.75,0
159,230,3.9239130434782608,0.6832956301409634,0.4649051332790129,0.0034835817278565,138.7,Comedy,73,31.7,4,Basic,9.99,1,bundle,0,0.186782315759282,0,on_service,50.49,41.08,0.182,2.39,0
181,650,1.8315384615384616,0.9811815316526198,0.0001164008846467,0.0054050458181576,10.2,Action,237,36.5,0,Basic,9.99,1,trial,3,0.05,0,on_service,128.21,118.78,0.186,0.18,0
